layer_id,neuron_idx,test_activ_l2_norm,test_activ_zero_ratio,test_avg_activ,test_max_activ,test_median_activ,test_min_activ,test_std_activ,test_var_activ
0,317,3.505472900390625,0.0,140.28346,385.38242,139.42484,-74.88886,69.98021,4897.2295
0,318,2.0158472900390625,0.0,51.44351,274.3621,49.05459,-140.09502,74.03274,5480.8467
0,319,1.9363131103515625,0.0,59.265892,280.32742,62.03295,-195.73407,63.13613,3986.171
0,320,2.805521240234375,0.0,102.82826,444.70978,97.84389,-108.327286,71.890526,5168.248
0,321,1.6559727783203124,0.0,39.832092,255.82231,42.33973,-158.54991,62.43313,3897.8955
0,322,1.268936767578125,0.0,-14.080514,165.13911,-14.897771,-194.2185,54.97399,3022.14
0,323,1.835260986328125,0.0,53.281254,271.1087,52.51374,-174.70668,62.429756,3897.4746
0,324,1.754572998046875,0.0,39.944923,240.26414,41.312992,-264.4688,67.53854,4561.455
0,325,2.127185791015625,0.0,70.82275,269.78104,71.20183,-111.24078,63.513588,4033.9758
0,326,2.109976318359375,0.0,-71.41593,152.02263,-68.71859,-323.45483,61.67467,3803.765
0,327,1.2938817138671874,0.0,-14.025506,212.51627,-17.385872,-190.37546,56.138622,3151.545
0,328,2.23697216796875,0.0,70.80137,320.82364,65.049194,-121.715256,70.67712,4995.255
0,329,3.744868408203125,0.0,142.41466,445.433,138.31528,-140.72646,88.12575,7766.147
0,330,1.78624169921875,0.0,36.43594,219.38489,42.334965,-203.75343,71.08966,5053.74
0,331,1.37388232421875,0.0,-14.658951,187.18704,-12.353709,-239.04248,59.667583,3560.2205
0,332,1.1714368896484375,0.0,-17.314953,160.74168,-18.639864,-199.8869,49.444122,2444.7212
0,333,1.5159046630859374,0.0,1.9080608,181.19556,6.5448523,-280.518,67.766464,4592.2935
0,334,1.35135888671875,0.0,15.746949,198.71704,16.565819,-227.5502,58.347027,3404.3755
0,335,1.510060791015625,0.0,-42.739616,157.96408,-41.807655,-215.68114,52.286633,2733.892
0,336,1.536506591796875,0.0,-23.884472,227.75122,-21.114937,-234.23776,64.43009,4151.237
0,337,1.7105068359375,0.0,48.06347,267.75177,44.832542,-163.50267,59.511097,3541.5706
0,338,1.4783109130859375,0.0,-29.592249,203.05063,-23.639132,-287.74774,59.11941,3495.105
0,339,1.3760986328125,0.0,7.116652,225.70984,8.607071,-208.80513,61.128124,3736.6477
0,340,2.0364228515625,0.0,60.206604,278.07898,57.80505,-157.23148,68.33155,4669.2007
0,341,1.6677484130859375,0.0,-37.393093,168.18985,-33.865852,-252.551,64.533134,4164.526
0,342,3.30823388671875,0.0,-128.58119,45.26252,-127.75781,-402.38712,73.182655,5355.7007
0,343,1.8781922607421875,0.0,47.99236,268.95096,42.24243,-158.43246,68.93435,4751.945
0,344,1.452281005859375,0.0,16.936024,217.21451,16.25211,-168.80667,62.70096,3931.4104
0,345,1.7176387939453126,0.0,-49.65889,144.93094,-49.027977,-248.19864,58.605125,3434.5605
0,346,1.2698873291015624,0.0,2.6877537,185.02492,1.175233,-169.5238,56.72745,3218.004
0,347,2.085342529296875,0.0,60.980415,269.8949,64.799355,-206.05493,70.55987,4978.695
0,348,1.61612744140625,0.0,-48.0287,154.74916,-49.711586,-209.55988,54.009068,2916.9792
0,349,2.085087646484375,0.0,68.16978,262.57968,66.50897,-159.83592,63.624393,4048.0635
0,350,1.3323133544921875,0.0,-2.756166,209.07426,-1.3553802,-247.19194,59.519085,3542.5215
0,351,1.5711505126953125,0.0,30.477371,250.143,26.534096,-195.2766,63.310013,4008.158
0,352,1.35324755859375,0.0,12.441628,232.2841,16.414446,-210.25928,59.226376,3507.7634
0,353,1.47420263671875,0.0,18.96847,191.6733,23.54958,-243.22234,63.14067,3986.7441
0,354,1.3750792236328124,0.0,-2.897399,195.56604,-0.8085609,-242.52477,61.42712,3773.291
0,355,1.5937008056640625,0.0,-37.17446,140.70195,-37.083572,-287.35703,60.80973,3697.8235
0,356,2.08814599609375,0.0,61.919594,294.05563,65.1685,-254.18163,69.904724,4886.671
0,357,2.447720703125,0.0,-83.27451,143.48999,-79.58374,-298.24164,71.049484,5048.029
0,358,2.98153759765625,0.0,116.85215,347.7949,115.36511,-115.03163,64.223885,4124.707
0,359,1.2732850341796875,0.0,-28.301157,161.19107,-29.169735,-235.06685,49.412086,2441.5542
0,360,3.73085009765625,0.0,-144.60594,56.22542,-134.54912,-524.0891,83.23228,6927.6113
0,361,1.6612744140625,0.0,4.617305,251.11746,-1.5093153,-215.92276,74.150826,5498.345
